id_llamada,fecha,hora,id_agente,nombre_agente,turno,area,antiguedad_años,tipo_gestion,canal,provincia_cliente,AHT_segundos,FCR,rellamado_7dias,PEC_error_critico,NPS_score,satisfaccion_agente,ausente,motivo_ausencia,columna_sistema_interno
CALL-04875,2024-07-30,10:14,AG004,Lucas García,Mañana,Ventas,2,Consulta,Callback,Mendoza,223,1,0,0,9.0,4,0,,SVC_AR_2024
CALL-01026,2024-04-26,15:12,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Cobranza,Chat derivado a voz,Tucumán,318,1,0,0,7.0,5,0,,SVC_AR_2024
CALL-03546,2024-02-26,19:29,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Cobranza,Outbound,Mendoza,360,1,0,0,10.0,3,0,,SVC_AR_2024
CALL-03822,2024-11-26,08:22,AG002,Martín Rodríguez,Tarde,Cobranzas,1,Baja de Servicio,Inbound,Tucumán,480,1,0,0,,4,1,Sin justificar,SVC_AR_2024
CALL-04395,2024-05-15,13:26,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Cobranza,Inbound,Córdoba,270,1,0,0,8.0,5,0,,SVC_AR_2024
CALL-03423,2024-11-30,17:06,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Consulta,Chat derivado a voz,CABA,213,0,1,0,6.0,3,0,,SVC_AR_2024
CALL-02418,2024-10-01,18:21,AG007,Florencia Torres,Mañana,Soporte Técnico,6,Reclamo,Chat derivado a voz,Mendoza,373,0,1,0,5.0,4,0,,SVC_AR_2024
CALL-01096,2024-04-07,13:59,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Baja de Servicio,Outbound,Buenos Aires,396,1,0,0,,4,1,Licencia,SVC_AR_2024
CALL-04460,2024-03-03,21:14,AG012,Ignacio Herrera,Noche,Ventas,2,Venta,Outbound,Buenos Aires,474,0,1,0,5.0,4,0,,SVC_AR_2024
CALL-00706,2024-07-30,08:21,AG010,Tomás González,Mañana,Cobranzas,1,Soporte Técnico,Outbound,CABA,560,1,0,0,5.0,3,0,,SVC_AR_2024
